,lon,lat,near_accidents
124190,13.413440316,52.5472221650001,
124199,13.4749747970001,52.513601501,"2389,4097,4183"
124205,13.3684677740001,52.5410297430001,"600,1654,3363,4061,4090,4927,5079,6670,7449,7458,7478,8367,8436,9096,9190,9598,9757,9818,9819,9844,10638,12630,13064,13713,14314,14663,14786,14863,14894,14927,15407,15575,15579,15790,15923,15994"
124216,13.362488587,52.4989056140001,
124227,13.414411865,52.5572795460001,
124229,13.169550529,52.420699246,2890
124230,13.41775298,52.521520771,
124232,13.451745123,52.510078864,
124233,13.4478502530001,52.547048653,
124245,13.4542180870001,52.515836505,"971,2120,2786,3024,3088,4098"
124248,13.402193191,52.5865044610001,6089
124262,13.307459538,52.51154791,
124266,13.54141664,52.5098435210001,
124277,13.2944133890001,52.5107035610001,
124282,13.4593448840001,52.5153371590001,768
124291,13.311288963,52.5119895190001,
124293,13.4167560610001,52.522075192,"8779,11546,12474,13241,13307,13364,13478,14301,15111"
124295,13.4133050030001,52.5480684680001,10036
124301,13.2816334090001,52.509915263,
124312,13.449113557,52.5163731590001,951
124320,13.422833698,52.539516135,
228830,13.3874462310001,52.533506909,"3992,6287,8860,9235,12770,13079,13526,13757,13919,14053,14637,15998,16002,16384,16639,16783,16855,16893"
228866,13.4105452050001,52.4352363850001,
228894,13.395430665,52.538894654,"164,13043"
228913,13.4078382860001,52.5729433440001,
228921,13.4550391170001,52.521205314,13780
228931,13.621708889,52.5247769270001,
228946,13.322147032,52.427157681,
228957,13.329762144,52.429027019,
228966,13.4011410800001,52.511327061,"10192,14598,14599"
228973,13.3803938950001,52.5734138450001,
228994,13.4235184670001,52.525465361,
229022,13.4299260650001,52.5035269030001,9502
229023,13.480303249,52.518991247,
229032,13.410944215,52.503872652,"923,1512,4429,6163,9990,10285,10494,13214,14742,14829,15025"
229051,13.4422017950001,52.546743201,
229059,13.3912753500001,52.563416863,
229075,13.543975684,52.525829511,
229096,13.358819543,52.5262963750001,
229103,13.2820657290001,52.5756679720001,
229104,13.323907192,52.5650283900001,10147
229139,13.3221348600001,52.5145836770001,
229151,13.435321823,52.5147127070001,
229172,13.4828009300001,52.5232179600001,
229212,13.3626812540001,52.49975914,"11979,11980,15682,16199"
229238,13.295009093,52.4324752970001,16654
229301,13.280240459,52.5194184760001,
229316,13.3806597190001,52.4657659540001,
229364,13.406250041,52.5818216490001,
229382,13.4332084270001,52.5529438790001,
229413,13.5162547250001,52.5658232060001,
229420,13.5912236680001,52.537100631,
229456,13.2685466360001,52.4123180500001,
229471,13.3214648740001,52.4686977270001,
229472,13.3648295690001,52.417971795,
229518,13.258460572,52.518305345,4667
229533,13.6158388320001,52.531956404,
229543,13.5755087810001,52.4474829480001,"3560,3680"
229714,13.4159010170001,52.550150364,"2319,2595,2873"
229722,13.3263227100001,52.5644447400001,
229737,13.6012674520001,52.479220378,
229747,13.3367002310001,52.429823598,
229784,13.5994471660001,52.5189564620001,
229785,13.489695581,52.542643797,
229794,13.3708443360001,52.517880688,"2350,16926"
229800,13.5621839520001,52.5101149450001,
229815,13.396314558,52.5173251300001,"558,2376,12960"
229843,13.560580137,52.4431073040001,
229866,13.390458166,52.5076953170001,"833,3396,4698,7110,7425,7440,7531,7599,7628,9009,9850,9889,10394,10728,12686,12703,14480,14608,15403,15437"
229930,13.197563799,52.523772771,
229931,13.4205949940001,52.5380192260001,
229932,13.306731395,52.5169229580001,9526
229934,13.339071333,52.550386282,
229936,13.3902885480001,52.508593262,"218,740,2498,4622,4640,7766,9491,11012,13213,14197,16495,17062"
229937,13.4094106650001,52.52873528,"632,2559,15146,16984,17030"
229939,13.374196258,52.505727473,
229941,13.3844238040001,52.5319889450001,"3432,11200,12755,14252,15072"
229942,13.304285771,52.4994072040001,5002
229949,13.441761604,52.501255761,"256,437,468"
229954,13.360339223,52.5372452650001,"461,1971,2136,2217,4459,4592,5121,5315,5947,6153,7264,11159,14419,15339"
229955,13.3839334080001,52.516831987,
229956,13.4806665290001,52.4603073800001,
229957,13.406235172,52.5818100920001,
229960,13.4027949200001,52.5622144960001,
